example_id                           | status | run_time        |
------------------------------------ | ------ | --------------- |
./spec/system/tasks_spec.rb[1:1:1]   | passed | 0.19231 seconds |
./spec/system/tasks_spec.rb[1:1:2]   | passed | 0.23791 seconds |
./spec/system/tasks_spec.rb[1:1:3]   | passed | 0.29081 seconds |
./spec/system/tasks_spec.rb[1:2:1]   | passed | 0.21794 seconds |
./spec/system/tasks_spec.rb[1:2:2]   | passed | 0.24955 seconds |
./spec/system/tasks_spec.rb[1:2:3]   | passed | 0.26852 seconds |
./spec/system/tasks_spec.rb[1:2:4:1] | passed | 0.4583 seconds  |
./spec/system/tasks_spec.rb[1:2:5:1] | passed | 0.25287 seconds |
./spec/system/tasks_spec.rb[1:3:1]   | passed | 0.66278 seconds |
./spec/system/tasks_spec.rb[1:4:1]   | passed | 0.28196 seconds |
./spec/system/tasks_spec.rb[1:4:2]   | passed | 2.06 seconds    |
